X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
5.25,0.25,train,1.3826066072192598E-4,6.083157541304965,0.1002050644356288
6.75,0.25,train,1.1033827864511063E-4,5.203466841618343,0.08161991896423383
9.25,1.25,train,8.800886173205386E-4,20.664293703086763,0.4148220628978395
9.75,2.75,train,8.126594237782931E-4,19.07592110153261,0.3956133497357372
8.75,3.75,train,6.299009449530871E-4,16.43946847590561,0.33659028981765243
9.75,3.25,train,9.73985575068647E-4,21.817235563558476,0.4396229548946664
6.75,4.25,train,8.156345916420924E-4,19.157110785700976,0.39648744777066075
0.25,5.75,train,0.0013916071449727265,33.8285735187753,0.528500490326023
1.75,6.25,train,0.0015203296123943574,37.65020404855009,0.5504758566175951
2.25,6.25,train,0.0014707306647339848,35.85461401001006,0.542255394768579
2.75,6.25,train,0.0014683256791144102,35.548879146313126,0.5418491463177552
9.25,-0.25,train,6.233708506554047E-4,16.334197793804822,0.3342672927042172
11.25,-4.25,train,0.0015586807528513756,39.34583195404713,0.5566324812827231
11.75,-5.25,train,6.783010770423444E-4,17.15142263159549,0.35331537752819825
2.25,-15.75,train,3.2268467182051796E-5,2.267455262345105,0.02533274269454701
-14.25,-7.75,train,0.0013723835445319551,32.78430592539873,0.5250329062645582
-32.25,-3.75,train,0.0016422894431635045,43.74659577656712,0.5694868057812118
-33.75,-3.75,train,6.173377030886283E-4,16.153220869179382,0.3321065726080716
-38.25,-3.75,train,0.0023881082864383616,73.2881791901241,0.6579490767213175
-37.75,-4.25,train,0.002502436461366586,80.37026915964529,0.6683942019795567
-37.25,-4.75,train,0.0023019344516889586,68.8221196001719,0.6496306775048261
-34.75,-6.75,train,0.0025369401695100728,82.14305111664451,0.6714223244727564
-34.75,-7.25,train,0.002196720716346532,66.79022882265224,0.6389090016293566
-34.75,-7.75,train,0.0021290621266004304,64.1968650152558,0.6316607186716806
-34.75,-8.25,train,0.0023925787130374384,73.76664736503952,0.658369845427155
-34.75,-8.75,train,0.00124072668126016,28.23322574854909,0.49984090338894255
-35.25,-5.25,train,0.002404827021764924,74.48621591454243,0.6595174036762699
-35.25,-5.75,train,0.0018740573799089285,53.34679551879408,0.6015127368476447
-35.25,-9.25,train,0.0023958663123240073,74.05517765757773,0.6586786232231703
-35.75,-9.75,train,0.0023803347936498576,72.57280921149152,0.6572149410102158
-44.25,-0.75,train,0.0012179224942855654,27.601670536031016,0.4952033736446735
-41.75,-2.75,train,0.0023302103396838124,70.44577931441538,0.652404406886981
-0.75,-17.25,train,1.3381892557477252E-4,5.979386806726131,0.0972991182388802
-5.75,-15.75,train,0.0015432962598824213,38.660339401349965,0.5541831300955269
-38.25,-12.75,train,0.0021614397984836735,66.1336487276856,0.6351653091796559
-38.75,-12.75,train,0.0016815078935588715,45.01531940013527,0.5752630354654678
-38.75,-13.25,train,0.00215178353215869,65.2703840182377,0.6341271042195865
