"species","longitude","latitude"
"Abudefduf saxatilis",5.25,0.25
"Abudefduf saxatilis",6.75,0.25
"Abudefduf saxatilis",9.25,1.25
"Abudefduf saxatilis",9.75,2.75
"Abudefduf saxatilis",8.75,3.75
"Abudefduf saxatilis",9.75,3.25
"Abudefduf saxatilis",6.75,4.25
"Abudefduf saxatilis",0.25,5.75
"Abudefduf saxatilis",1.75,6.25
"Abudefduf saxatilis",2.25,6.25
"Abudefduf saxatilis",2.75,6.25
"Abudefduf saxatilis",9.25,-0.25
"Abudefduf saxatilis",11.25,-4.25
"Abudefduf saxatilis",11.75,-5.25
"Abudefduf saxatilis",2.25,-15.75
"Abudefduf saxatilis",-14.25,-7.75
"Abudefduf saxatilis",-32.25,-3.75
"Abudefduf saxatilis",-33.75,-3.75
"Abudefduf saxatilis",-38.25,-3.75
"Abudefduf saxatilis",-37.75,-4.25
"Abudefduf saxatilis",-37.25,-4.75
"Abudefduf saxatilis",-34.75,-6.75
"Abudefduf saxatilis",-34.75,-7.25
"Abudefduf saxatilis",-34.75,-7.75
"Abudefduf saxatilis",-34.75,-8.25
"Abudefduf saxatilis",-34.75,-8.75
"Abudefduf saxatilis",-35.25,-5.25
"Abudefduf saxatilis",-35.25,-5.75
"Abudefduf saxatilis",-35.25,-9.25
"Abudefduf saxatilis",-35.75,-9.75
"Abudefduf saxatilis",-44.25,-0.75
"Abudefduf saxatilis",-41.75,-2.75
"Abudefduf saxatilis",-0.75,-17.25
"Abudefduf saxatilis",-5.75,-15.75
"Abudefduf saxatilis",-38.25,-12.75
"Abudefduf saxatilis",-38.75,-12.75
"Abudefduf saxatilis",-38.75,-13.25
"Abudefduf saxatilis",-39.25,-14.25
"Abudefduf saxatilis",-38.25,-16.25
"Abudefduf saxatilis",-39.25,-16.75
"Abudefduf saxatilis",-38.75,-17.75
"Abudefduf saxatilis",-39.25,-17.25
"Abudefduf saxatilis",-39.25,-17.75
"Abudefduf saxatilis",-38.75,-18.25
"Abudefduf saxatilis",-39.25,-18.25
"Abudefduf saxatilis",-29.25,-20.25
"Abudefduf saxatilis",-29.25,-20.75
"Abudefduf saxatilis",-29.75,-20.75
"Abudefduf saxatilis",-40.25,-20.25
"Abudefduf saxatilis",-40.25,-20.75
"Abudefduf saxatilis",-40.75,-20.75
"Abudefduf saxatilis",-41.75,-22.75
"Abudefduf saxatilis",-42.25,-22.75
"Abudefduf saxatilis",-43.25,-22.75
"Abudefduf saxatilis",-44.25,-22.75
"Abudefduf saxatilis",-44.25,-23.25
"Abudefduf saxatilis",-42.25,-23.25
"Abudefduf saxatilis",-43.25,-23.25
"Abudefduf saxatilis",-44.75,-23.25
"Abudefduf saxatilis",-45.25,-23.25
"Abudefduf saxatilis",-45.25,-23.75
"Abudefduf saxatilis",-46.25,-23.75
"Abudefduf saxatilis",-46.25,-24.25
"Abudefduf saxatilis",-46.25,-24.75
"Abudefduf saxatilis",-48.75,-25.75
"Abudefduf saxatilis",-48.75,-26.75
"Abudefduf saxatilis",-48.25,-27.25
"Abudefduf saxatilis",-48.25,-27.75
"Abudefduf saxatilis",-48.75,-27.75
"Abudefduf saxatilis",-54.25,-34.75
"Abudefduf saxatilis",-1.75,4.75
"Abudefduf saxatilis",-6.25,4.75
"Abudefduf saxatilis",-10.25,5.75
"Abudefduf saxatilis",-13.25,8.25
"Abudefduf saxatilis",-13.75,9.25
"Abudefduf saxatilis",-13.75,9.75
"Abudefduf saxatilis",-29.25,0.75
"Abudefduf saxatilis",-51.75,4.75
"Abudefduf saxatilis",-52.75,5.25
"Abudefduf saxatilis",-55.25,6.25
"Abudefduf saxatilis",-57.75,6.75
"Abudefduf saxatilis",-77.25,8.75
"Abudefduf saxatilis",-77.75,8.75
"Abudefduf saxatilis",-75.75,9.25
"Abudefduf saxatilis",-75.75,9.75
"Abudefduf saxatilis",-76.25,9.25
"Abudefduf saxatilis",-78.75,9.75
"Abudefduf saxatilis",-79.75,9.25
"Abudefduf saxatilis",-79.25,9.75
"Abudefduf saxatilis",-79.75,9.75
"Abudefduf saxatilis",-80.25,9.25
"Abudefduf saxatilis",-82.25,9.25
"Abudefduf saxatilis",-82.75,9.75
"Abudefduf saxatilis",-16.25,11.25
"Abudefduf saxatilis",-16.75,13.25
"Abudefduf saxatilis",-17.25,14.75
"Abudefduf saxatilis",-16.25,18.75
"Abudefduf saxatilis",-22.75,16.25
"Abudefduf saxatilis",-25.25,15.25
"Abudefduf saxatilis",-25.25,16.75
"Abudefduf saxatilis",-59.25,13.25
"Abudefduf saxatilis",-59.75,13.25
"Abudefduf saxatilis",-60.25,10.75
"Abudefduf saxatilis",-61.25,10.75
"Abudefduf saxatilis",-61.75,10.75
"Abudefduf saxatilis",-63.75,10.75
"Abudefduf saxatilis",-60.25,11.25
"Abudefduf saxatilis",-60.75,11.25
"Abudefduf saxatilis",-61.25,12.25
"Abudefduf saxatilis",-61.75,12.25
"Abudefduf saxatilis",-61.25,12.75
"Abudefduf saxatilis",-60.25,13.75
"Abudefduf saxatilis",-60.75,13.75
"Abudefduf saxatilis",-61.25,13.25
"Abudefduf saxatilis",-60.75,14.25
"Abudefduf saxatilis",-60.75,14.75
"Abudefduf saxatilis",-61.25,14.25
"Abudefduf saxatilis",-61.25,14.75
"Abudefduf saxatilis",-65.25,10.25
"Abudefduf saxatilis",-66.25,10.75
"Abudefduf saxatilis",-66.75,11.75
"Abudefduf saxatilis",-68.25,12.25
"Abudefduf saxatilis",-68.75,12.25
"Abudefduf saxatilis",-69.25,12.25
"Abudefduf saxatilis",-61.25,15.75
"Abudefduf saxatilis",-61.75,15.75
"Abudefduf saxatilis",-63.75,15.75
"Abudefduf saxatilis",-61.25,16.25
"Abudefduf saxatilis",-61.75,16.25
"Abudefduf saxatilis",-61.25,16.75
"Abudefduf saxatilis",-61.75,16.75
"Abudefduf saxatilis",-62.25,16.75
"Abudefduf saxatilis",-61.75,17.25
"Abudefduf saxatilis",-62.75,17.25
"Abudefduf saxatilis",-63.25,17.75
"Abudefduf saxatilis",-64.75,17.75
"Abudefduf saxatilis",-63.25,18.25
"Abudefduf saxatilis",-63.25,18.75
"Abudefduf saxatilis",-64.25,18.25
"Abudefduf saxatilis",-64.75,18.25
"Abudefduf saxatilis",-66.25,17.75
"Abudefduf saxatilis",-66.75,17.75
"Abudefduf saxatilis",-67.25,17.75
"Abudefduf saxatilis",-65.25,18.25
"Abudefduf saxatilis",-65.75,18.25
"Abudefduf saxatilis",-66.25,18.25
"Abudefduf saxatilis",-66.75,18.25
"Abudefduf saxatilis",-67.25,18.25
"Abudefduf saxatilis",-67.75,18.25
"Abudefduf saxatilis",-67.25,18.75
"Abudefduf saxatilis",-68.75,18.25
"Abudefduf saxatilis",-68.25,18.75
"Abudefduf saxatilis",-69.25,18.25
"Abudefduf saxatilis",-69.75,18.25
"Abudefduf saxatilis",-72.25,11.75
"Abudefduf saxatilis",-73.75,11.25
"Abudefduf saxatilis",-74.25,11.25
"Abudefduf saxatilis",-70.25,12.75
"Abudefduf saxatilis",-71.75,12.25
"Abudefduf saxatilis",-75.75,10.25
"Abudefduf saxatilis",-76.25,10.25
"Abudefduf saxatilis",-76.75,11.75
"Abudefduf saxatilis",-77.25,12.25
"Abudefduf saxatilis",-78.25,12.25
"Abudefduf saxatilis",-70.75,18.25
"Abudefduf saxatilis",-72.25,18.75
"Abudefduf saxatilis",-72.75,18.75
"Abudefduf saxatilis",-74.25,18.75
"Abudefduf saxatilis",-70.75,19.75
"Abudefduf saxatilis",-71.25,19.75
"Abudefduf saxatilis",-79.75,15.75
"Abudefduf saxatilis",-75.75,17.25
"Abudefduf saxatilis",-76.75,17.75
"Abudefduf saxatilis",-77.75,17.25
"Abudefduf saxatilis",-77.25,17.75
"Abudefduf saxatilis",-76.25,18.25
"Abudefduf saxatilis",-77.25,18.25
"Abudefduf saxatilis",-77.75,18.25
"Abudefduf saxatilis",-77.25,18.75
"Abudefduf saxatilis",-77.75,18.75
"Abudefduf saxatilis",-78.25,18.25
"Abudefduf saxatilis",-75.25,19.75
