"species","longitude","latitude"
"Physeter macrocephalus",0.25,0.25
"Physeter macrocephalus",4.75,3.25
"Physeter macrocephalus",6.75,0.25
"Physeter macrocephalus",8.75,0.25
"Physeter macrocephalus",9.25,1.25
"Physeter macrocephalus",9.25,1.75
"Physeter macrocephalus",9.25,2.75
"Physeter macrocephalus",9.75,3.25
"Physeter macrocephalus",6.75,4.25
"Physeter macrocephalus",1.25,5.75
"Physeter macrocephalus",2.25,5.25
"Physeter macrocephalus",1.75,6.25
"Physeter macrocephalus",2.25,6.25
"Physeter macrocephalus",2.75,6.25
"Physeter macrocephalus",44.25,0.25
"Physeter macrocephalus",44.75,0.25
"Physeter macrocephalus",44.25,0.75
"Physeter macrocephalus",44.75,1.25
"Physeter macrocephalus",45.25,0.25
"Physeter macrocephalus",45.75,0.75
"Physeter macrocephalus",46.25,0.75
"Physeter macrocephalus",47.75,0.25
"Physeter macrocephalus",47.25,0.75
"Physeter macrocephalus",48.25,0.75
"Physeter macrocephalus",49.25,0.75
"Physeter macrocephalus",45.25,1.25
"Physeter macrocephalus",45.75,1.25
"Physeter macrocephalus",48.25,1.25
"Physeter macrocephalus",49.25,1.25
"Physeter macrocephalus",48.25,2.75
"Physeter macrocephalus",48.25,4.75
"Physeter macrocephalus",50.75,1.75
"Physeter macrocephalus",51.25,1.25
"Physeter macrocephalus",51.75,1.75
"Physeter macrocephalus",52.25,1.25
"Physeter macrocephalus",52.75,1.75
"Physeter macrocephalus",54.25,1.75
"Physeter macrocephalus",51.25,2.25
"Physeter macrocephalus",51.25,2.75
"Physeter macrocephalus",52.25,2.25
"Physeter macrocephalus",53.75,2.25
"Physeter macrocephalus",54.25,2.25
"Physeter macrocephalus",54.75,2.75
"Physeter macrocephalus",50.25,3.75
"Physeter macrocephalus",50.75,3.75
"Physeter macrocephalus",50.25,4.25
"Physeter macrocephalus",50.75,4.25
"Physeter macrocephalus",53.75,4.75
"Physeter macrocephalus",54.25,4.25
"Physeter macrocephalus",54.25,4.75
"Physeter macrocephalus",59.75,0.75
"Physeter macrocephalus",55.25,1.75
"Physeter macrocephalus",55.75,1.75
"Physeter macrocephalus",55.75,2.75
"Physeter macrocephalus",56.25,2.25
"Physeter macrocephalus",56.75,2.25
"Physeter macrocephalus",56.25,2.75
"Physeter macrocephalus",56.75,2.75
"Physeter macrocephalus",55.25,3.75
"Physeter macrocephalus",56.25,3.25
"Physeter macrocephalus",56.75,3.25
"Physeter macrocephalus",56.25,3.75
"Physeter macrocephalus",57.25,3.75
"Physeter macrocephalus",55.25,4.25
"Physeter macrocephalus",55.25,4.75
"Physeter macrocephalus",56.25,4.25
"Physeter macrocephalus",56.75,4.25
"Physeter macrocephalus",56.25,4.75
"Physeter macrocephalus",56.75,4.75
"Physeter macrocephalus",57.25,4.25
"Physeter macrocephalus",57.25,4.75
"Physeter macrocephalus",57.75,4.75
"Physeter macrocephalus",59.75,4.25
"Physeter macrocephalus",59.25,4.75
"Physeter macrocephalus",59.75,4.75
"Physeter macrocephalus",53.25,5.25
"Physeter macrocephalus",53.75,5.75
"Physeter macrocephalus",54.75,5.25
"Physeter macrocephalus",54.25,5.75
"Physeter macrocephalus",54.75,5.75
"Physeter macrocephalus",54.75,6.25
"Physeter macrocephalus",54.25,6.75
"Physeter macrocephalus",51.75,8.75
"Physeter macrocephalus",55.25,5.25
"Physeter macrocephalus",55.75,5.25
"Physeter macrocephalus",55.25,5.75
"Physeter macrocephalus",55.75,5.75
"Physeter macrocephalus",56.25,5.25
"Physeter macrocephalus",56.75,5.25
"Physeter macrocephalus",56.25,5.75
"Physeter macrocephalus",56.75,5.75
"Physeter macrocephalus",57.25,5.25
"Physeter macrocephalus",57.75,5.25
"Physeter macrocephalus",57.25,5.75
"Physeter macrocephalus",57.75,5.75
"Physeter macrocephalus",55.25,6.25
"Physeter macrocephalus",55.75,6.25
"Physeter macrocephalus",56.75,6.25
"Physeter macrocephalus",57.25,6.25
"Physeter macrocephalus",60.25,4.25
"Physeter macrocephalus",60.75,4.25
"Physeter macrocephalus",60.25,4.75
"Physeter macrocephalus",60.75,4.75
"Physeter macrocephalus",61.25,4.75
"Physeter macrocephalus",61.75,4.75
"Physeter macrocephalus",66.75,1.25
"Physeter macrocephalus",66.75,2.75
"Physeter macrocephalus",60.25,5.25
"Physeter macrocephalus",60.75,5.25
"Physeter macrocephalus",73.25,3.75
"Physeter macrocephalus",79.25,0.75
"Physeter macrocephalus",79.25,1.25
"Physeter macrocephalus",75.25,3.75
"Physeter macrocephalus",76.75,3.75
"Physeter macrocephalus",77.25,3.25
"Physeter macrocephalus",77.75,3.75
"Physeter macrocephalus",75.25,4.25
"Physeter macrocephalus",75.75,4.25
"Physeter macrocephalus",75.25,4.75
"Physeter macrocephalus",75.75,4.75
"Physeter macrocephalus",76.75,4.25
"Physeter macrocephalus",76.25,4.75
"Physeter macrocephalus",76.75,4.75
"Physeter macrocephalus",77.25,4.25
"Physeter macrocephalus",77.25,4.75
"Physeter macrocephalus",77.75,4.75
"Physeter macrocephalus",78.75,4.25
"Physeter macrocephalus",72.75,7.75
"Physeter macrocephalus",73.25,7.75
"Physeter macrocephalus",73.75,7.75
"Physeter macrocephalus",71.25,8.25
"Physeter macrocephalus",73.75,8.75
"Physeter macrocephalus",74.25,8.25
"Physeter macrocephalus",74.25,8.75
"Physeter macrocephalus",72.75,9.25
"Physeter macrocephalus",74.25,9.25
"Physeter macrocephalus",75.25,5.25
"Physeter macrocephalus",75.75,5.25
"Physeter macrocephalus",76.25,5.25
"Physeter macrocephalus",76.75,5.25
"Physeter macrocephalus",76.25,5.75
"Physeter macrocephalus",76.75,5.75
"Physeter macrocephalus",77.75,5.25
"Physeter macrocephalus",77.25,5.75
"Physeter macrocephalus",78.25,5.25
"Physeter macrocephalus",78.25,5.75
"Physeter macrocephalus",78.75,5.75
"Physeter macrocephalus",79.75,5.25
"Physeter macrocephalus",79.25,5.75
"Physeter macrocephalus",79.75,5.75
"Physeter macrocephalus",75.25,6.25
"Physeter macrocephalus",76.25,6.25
"Physeter macrocephalus",76.75,6.25
"Physeter macrocephalus",77.25,6.25
"Physeter macrocephalus",77.75,6.25
"Physeter macrocephalus",77.25,6.75
"Physeter macrocephalus",78.25,6.25
"Physeter macrocephalus",78.75,6.25
"Physeter macrocephalus",78.75,6.75
"Physeter macrocephalus",79.75,6.25
"Physeter macrocephalus",79.25,6.75
"Physeter macrocephalus",79.75,6.75
"Physeter macrocephalus",78.75,7.25
"Physeter macrocephalus",79.75,7.25
"Physeter macrocephalus",79.25,7.75
"Physeter macrocephalus",78.25,8.75
"Physeter macrocephalus",79.25,9.25
"Physeter macrocephalus",81.75,4.75
"Physeter macrocephalus",82.75,4.75
"Physeter macrocephalus",83.25,4.75
"Physeter macrocephalus",80.25,5.25
"Physeter macrocephalus",83.25,5.25
"Physeter macrocephalus",83.75,5.25
"Physeter macrocephalus",83.25,5.75
"Physeter macrocephalus",83.75,5.75
"Physeter macrocephalus",84.25,5.75
"Physeter macrocephalus",80.25,6.25
"Physeter macrocephalus",84.75,6.25
"Physeter macrocephalus",81.25,9.25
"Physeter macrocephalus",92.75,2.75
"Physeter macrocephalus",93.25,2.75
"Physeter macrocephalus",92.75,3.75
"Physeter macrocephalus",93.25,3.25
"Physeter macrocephalus",93.25,3.75
"Physeter macrocephalus",92.75,4.75
"Physeter macrocephalus",93.25,4.25
"Physeter macrocephalus",92.75,5.25
"Physeter macrocephalus",93.25,5.25
"Physeter macrocephalus",92.75,7.75
"Physeter macrocephalus",94.25,7.25
"Physeter macrocephalus",91.25,8.75
"Physeter macrocephalus",91.75,8.75
"Physeter macrocephalus",93.75,8.75
"Physeter macrocephalus",91.75,9.25
"Physeter macrocephalus",91.75,9.75
"Physeter macrocephalus",92.25,9.25
"Physeter macrocephalus",93.25,9.25
"Physeter macrocephalus",93.25,9.75
"Physeter macrocephalus",93.75,9.75
"Physeter macrocephalus",96.75,7.25
"Physeter macrocephalus",97.75,7.25
"Physeter macrocephalus",97.25,7.75
"Physeter macrocephalus",97.75,7.75
"Physeter macrocephalus",98.25,7.75
"Physeter macrocephalus",99.25,7.25
"Physeter macrocephalus",96.75,8.25
"Physeter macrocephalus",103.75,1.25
"Physeter macrocephalus",101.25,2.75
"Physeter macrocephalus",100.75,3.75
"Physeter macrocephalus",101.75,6.75
"Physeter macrocephalus",102.25,6.25
"Physeter macrocephalus",102.75,6.25
"Physeter macrocephalus",102.75,6.75
"Physeter macrocephalus",101.25,7.25
"Physeter macrocephalus",102.25,7.25
"Physeter macrocephalus",102.25,7.75
