Alosa caspia nordmani
Anguilla anguilla
Aphia minuta
Arnoglossus laterna
Carcharhinus obscurus
Carcharhinus plumbeus
Centrophorus granulosus
Chelidonichthys lastoviza
Coryphaena hippurus
Dasyatis pastinaca
Diplodus sargus
Epinephelus marginatus
Etmopterus spinax
Gadus morhua
Galeorhinus galeus
Galeus melastomus
Gymnura altavela
Helicolenus dactylopterus
Engraulis encrasicolus
Huso huso
Isurus oxyrinchus
Lagocephalus sceleratus
Lepidorhombus boscii
Leucoraja circularis
Leucoraja naevus
Limanda limanda
Merlangius merlangus
Merluccius merluccius
Mugil cephalus
Mullus barbatus
Mullus surmuletus
Myliobatis aquila
Hippoglossus hippoglossus
Melanogrammus aeglefinus
Pagellus bogaraveo
Pagellus erythrinus
Pagrus caeruleostictus
Pleuronectes platessa
Prionace glauca
Raja brachyura
Raja clavata
Raja polystigma
Raja radula
Sarda sarda
Sardina pilchardus
Sardinella aurita
Saurida lessepsianus
Scomberomorus commerson
Scophthalmus rhombus
Pomatomus saltatrix
Raja asterias
Rostroraja alba
Scyliorhinus canicula
Scyliorhinus stellaris
Siganus rivulatus
Solea solea
Sphyrna lewini
Sprattus sprattus
Squalus acanthias
Squalus blainville
Squilla mantis
Thunnus alalunga
Thunnus albacares
Thunnus obesus
Thunnus thynnus
Trachurus mediterraneus
Trachurus trachurus
Trigla lyra
Upeneus moluccensis
Acipenser gueldenstaedtii
Acipenser stellatus
Buglossidium luteum
Callionymus lyra
Clupea harengus
Fistularia commersonii
Nemipterus randalli
Neogobius melanostomus
Parupeneus forsskali
Phycis blennoides
Platichthys flesus
Pterois miles
Seriola dumerili
Xiphias gladius
Alosa pontica
Aristeus antennatus
Chamelea gallina
Leptometra celtica
Liza aurata
Liza saliens
Loligo vulgaris
Nephrops norvegicus
Palinurus elephas
Psetta maxima
Rapana venosa
Parapenaeus longirostris
Sepia officinalis
